Time Step,Susceptible,Infected,Recovered,Infected/Total
62,1616,41,843,0.0164
63,1592,47,861,0.0188
64,1562,57,881,0.0228
65,1533,65,902,0.026
66,1503,67,930,0.0268
67,1472,72,956,0.0288
68,1444,65,991,0.026
69,1409,65,1026,0.026
70,1374,68,1058,0.0272
71,1342,70,1088,0.028
72,1315,67,1118,0.0268
73,1290,66,1144,0.0264
74,1255,71,1174,0.0284
75,1220,67,1213,0.0268
76,1189,69,1242,0.0276
77,1164,64,1272,0.0256
78,1140,53,1307,0.0212
79,1113,50,1337,0.02
80,1092,45,1363,0.018
81,1063,46,1391,0.0184
82,1036,58,1406,0.0232
83,1009,65,1426,0.026
84,979,64,1457,0.0256
85,956,59,1485,0.0236
86,932,58,1510,0.0232
87,908,56,1536,0.0224
88,892,45,1563,0.018
89,876,38,1586,0.0152
90,858,36,1606,0.0144
91,839,38,1623,0.0152
92,824,38,1638,0.0152
93,803,47,1650,0.0188
94,777,45,1678,0.018
95,757,45,1698,0.018
96,741,35,1724,0.014
97,730,33,1737,0.0132
98,710,35,1755,0.014
99,694,41,1765,0.0164
100,674,41,1785,0.0164
101,661,39,1800,0.0156
102,654,27,1819,0.0108
103,651,18,1831,0.0072
104,648,13,1839,0.0052
105,644,11,1845,0.0044
106,641,8,1851,0.0032
107,637,7,1856,0.0028
108,636,7,1857,0.0028
109,633,8,1859,0.0032
110,629,11,1860,0.0044
111,624,9,1867,0.0036
112,623,4,1873,0.0016
113,620,6,1874,0.0024
114,618,5,1877,0.002
115,617,3,1880,0.0012
116,616,4,1880,0.0016
117,616,0,1884,0.0
118,616,0,1884,0.0
119,616,0,1884,0.0
120,616,0,1884,0.0
121,616,0,1884,0.0
122,616,0,1884,0.0
123,616,0,1884,0.0
124,616,0,1884,0.0
125,616,0,1884,0.0
126,616,0,1884,0.0
127,616,0,1884,0.0
128,616,0,1884,0.0
129,616,0,1884,0.0
130,616,0,1884,0.0
131,616,0,1884,0.0
132,616,0,1884,0.0
133,616,0,1884,0.0
134,616,0,1884,0.0
135,616,0,1884,0.0
136,616,0,1884,0.0
137,616,0,1884,0.0
138,616,0,1884,0.0
139,616,0,1884,0.0
140,616,0,1884,0.0
141,616,0,1884,0.0
142,616,0,1884,0.0
143,616,0,1884,0.0
144,616,0,1884,0.0
145,616,0,1884,0.0
146,616,0,1884,0.0
147,616,0,1884,0.0
148,616,0,1884,0.0
149,616,0,1884,0.0
150,616,0,1884,0.0
151,616,0,1884,0.0
152,616,0,1884,0.0
153,616,0,1884,0.0
154,616,0,1884,0.0
155,616,0,1884,0.0
156,616,0,1884,0.0
157,616,0,1884,0.0
158,616,0,1884,0.0
159,616,0,1884,0.0
160,616,0,1884,0.0
161,616,0,1884,0.0
162,616,0,1884,0.0
163,616,0,1884,0.0
164,616,0,1884,0.0
165,616,0,1884,0.0
166,616,0,1884,0.0
167,616,0,1884,0.0
168,616,0,1884,0.0
169,616,0,1884,0.0
170,616,0,1884,0.0
